schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
050160310022002,PK K 1 2 3 4 5,53.8,598,907,23.9,,,20.5
050160340041006,6 7 8,31.8,871,"4,887",16.2,,,20.5
050160340041007,6 7 8,34.3,859,"4,887",30.3,,,20.5
050160340042001,3 4 5,41.1,525,"4,887",26.9,,,20.5
050160340042002,PK K 1 2,41.8,490,"4,887",33.1,,,20.5
050160340042003,3 4 5,35.5,609,"4,887",26.9,,,20.5
050160340042004,PK K 1 2,21.2,466,"4,887",17.4,,,20.5
050160340042005,PK 3 4 5,20.9,545,"4,887",14.9,,,20.5
050160340042008,PK K 1 2,49.2,522,"4,887",34.9,,,20.5
050160350021001,5 6 7 8,8.4,593,"1,207",3.5,,,20.5
050160350022001,3 4,11.8,263,"1,207",0.4,,,20.5
050160350022002,K 1 2,12.5,351,"1,207",0.0,,,20.5
050160360021005,7 8,8.3,445,"1,807",0.2,,,20.5
050160360022001,K 1 2 3 4,8.6,395,"1,807",0.0,,,20.5
050160360022002,K 1 2 3 4,12.8,274,"1,807",0.0,,,20.5
050160360022003,K 1 2 3 4,13.4,253,"1,807",0.0,,,20.5
050160360022004,5 6,9.1,440,"1,807",0.2,,,20.5
050160370021001,PK 6 7 8,41.1,263,713,9.5,,,20.5
050160370022003,K 1 2 3 4 5,42.0,450,713,6.9,,,20.5
050160380022001,K 1 2 3 4 5 6 7 8,8.2,497,497,0.0,,,20.5
050160390021008,7 8,21.3,891,"3,703",5.1,,,20.5
050160390022002,K 1 2 3 4,14.6,507,"3,703",2.4,,,20.5
050160390022003,PK K 1 2 3 4,17.1,432,"3,703",1.9,,,20.5
050160390022005,K 1 2 3 4,22.3,512,"3,703",2.0,,,20.5
050160390022006,PK K 1 2 3 4,36.9,515,"3,703",4.7,,,20.5
050160390022007,5 6,21.9,846,"3,703",3.9,,,20.5
050160540041001,7 8,51.9,622,"14,268",24.1,,,20.5
050160540041012,7 8,49.2,596,"14,268",23.3,,,20.5
050160540041018,7 8,66.9,568,"14,268",35.9,,,20.5
050160540041019,7 8,45.6,623,"14,268",18.3,,,20.5
050160540041020,7 8,67.8,559,"14,268",33.3,,,20.5
050160540042002,K 1 2 3 4 5 6,53.1,561,"14,268",36.0,,,20.5
050160540042003,K 1 2 3 4 5 6,69.3,476,"14,268",39.5,,,20.5
050160540042005,K 1 2 3 4 5 6,52.5,488,"14,268",18.0,,,20.5
050160540042006,K 1 2 3 4 5 6,51.4,477,"14,268",22.2,,,20.5
050160540042007,K 1 2 3 4 5 6,34.8,638,"14,268",18.3,,,20.5
